frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
26,  0,  1.250,  0.98,  1, 0.42, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.20, 0.02, 0.00, 0.00, 0.10, 0.19, 0.31, 0.07, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27,  0,  1.300,  0.98,  1, 0.47, 0.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.21, 0.02, 0.00, 0.00, 0.08, 0.28, 0.41, 0.07, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
28,  0,  1.350,  0.93,  1, 0.38, 0.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.16, 0.02, 0.00, 0.00, 0.10, 0.22, 0.19, 0.07, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
29,  0,  1.400,  0.98,  1, 0.34, 0.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.12, 0.00, 0.00, 0.00, 0.10, 0.21, 0.19, 0.06, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
30,  0,  1.450,  0.98,  1, 0.30, 0.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.06, 0.00, 0.00, 0.00, 0.07, 0.26, 0.20, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
31,  0,  1.500,  0.98,  1, 0.29, 0.32, 0.00, 0.00, 0.00, 0.13, 0.00, 0.00, 0.02, 0.13, 0.00, 0.00, 0.00, 0.11, 0.36, 0.31, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
32,  0,  1.550,  0.98,  1, 0.35, 0.30, 0.00, 0.00, 0.00, 0.13, 0.00, 0.00, 0.03, 0.16, 0.02, 0.00, 0.00, 0.11, 0.39, 0.37, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
33,  0,  1.600,  0.93,  1, 0.40, 0.28, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.06, 0.27, 0.05, 0.01, 0.00, 0.17, 0.22, 0.33, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
34,  0,  1.650,  0.98,  1, 0.41, 0.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, 0.33, 0.05, 0.01, 0.00, 0.12, 0.20, 0.31, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
35,  0,  1.700,  0.98,  1, 0.35, 0.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.24, 0.03, 0.03, 0.00, 0.11, 0.16, 0.24, 0.03, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
